frame ft primitives
3 4.800000 666128.000000
4 4.700000 653646.000000
5 4.600000 638162.000000
6 3.900000 627260.000000
7 4.300000 619202.000000
8 4.500000 607510.000000
9 3.700000 597556.000000
10 4.100000 586338.000000
11 5.000000 574172.000000
12 3.500000 565008.000000
13 3.800000 560268.000000
14 3.900000 546680.000000
15 3.700000 541466.000000
16 3.900000 535778.000000
17 3.900000 526456.000000
18 3.500000 520294.000000
19 4.100000 512236.000000
20 3.100000 503230.000000
21 3.000000 500544.000000
22 3.500000 495804.000000
23 3.600000 487114.000000
24 3.200000 478582.000000
25 3.100000 466732.000000
26 3.200000 457252.000000
27 3.300000 447614.000000
28 3.100000 438608.000000
29 3.200000 428022.000000
30 2.600000 416014.000000
31 2.800000 411432.000000
32 3.700000 414592.000000
33 2.800000 421702.000000
34 2.400000 427864.000000
35 3.700000 434184.000000
36 2.800000 448562.000000
37 2.700000 449984.000000
38 3.800000 457094.000000
39 3.200000 460254.000000
40 3.000000 459622.000000
41 3.400000 459148.000000
42 3.200000 469260.000000
43 3.200000 472894.000000
44 4.400000 479688.000000
45 3.700000 486324.000000
46 3.000000 489168.000000
47 3.800000 493276.000000
48 3.500000 492486.000000
49 3.200000 493750.000000
50 3.600000 500070.000000
51 3.700000 513184.000000
52 3.000000 526456.000000
53 3.400000 529774.000000
54 3.900000 538464.000000
55 3.600000 548734.000000
56 3.900000 558530.000000
57 4.600000 565640.000000
58 3.200000 584126.000000
59 4.100000 603402.000000
60 4.900000 610512.000000
61 4.000000 628050.000000
62 3.800000 628208.000000
63 4.800000 619202.000000
64 3.600000 612882.000000
65 4.200000 600716.000000
66 4.600000 596134.000000
67 3.400000 586812.000000
68 4.000000 578754.000000
69 4.400000 571328.000000
70 3.500000 561058.000000
71 4.100000 555844.000000
72 4.500000 546680.000000
73 4.100000 537516.000000
74 3.400000 529142.000000
75 4.700000 524402.000000
76 3.000000 521242.000000
77 3.500000 506548.000000
78 4.300000 497384.000000
79 2.800000 487272.000000
80 3.100000 483954.000000
81 3.800000 475738.000000
82 3.500000 464204.000000
83 2.500000 453934.000000
84 3.100000 447772.000000
85 3.300000 436238.000000
86 2.900000 428022.000000
87 2.900000 418068.000000
88 3.400000 413328.000000
89 2.500000 409220.000000
90 2.700000 402742.000000
91 3.100000 398160.000000
92 2.400000 393420.000000
93 2.400000 385362.000000
94 3.100000 372564.000000
95 2.500000 364664.000000
96 2.400000 362768.000000
97 2.600000 368140.000000
98 2.500000 367666.000000
99 2.500000 365296.000000
100 2.500000 369720.000000
101 2.500000 369404.000000
102 2.300000 365454.000000
103 2.500000 366876.000000
104 2.900000 372880.000000
105 2.400000 377146.000000
106 2.500000 376198.000000
107 2.800000 381412.000000
108 3.200000 388838.000000
109 2.500000 383308.000000
110 2.400000 386784.000000
111 3.200000 387100.000000
112 2.400000 391524.000000
113 2.400000 391840.000000
114 2.800000 397054.000000
115 2.500000 399898.000000
116 2.400000 402110.000000
117 3.100000 410642.000000
118 2.800000 412538.000000
119 2.800000 414750.000000
120 3.300000 415224.000000
121 2.600000 419490.000000
122 2.400000 418700.000000
123 3.500000 414434.000000
124 2.400000 414276.000000
125 2.600000 412064.000000
126 3.000000 407798.000000
127 3.000000 400688.000000
128 2.400000 400846.000000
129 2.500000 393736.000000
130 2.700000 392156.000000
131 2.500000 390102.000000
132 2.300000 387258.000000
133 2.400000 385362.000000
134 2.400000 384730.000000
135 2.300000 388364.000000
136 3.000000 378568.000000
137 2.800000 376830.000000
138 2.300000 375566.000000
139 2.400000 371616.000000
140 2.600000 366402.000000
141 2.500000 366402.000000
142 2.400000 369720.000000
143 2.600000 367982.000000
144 2.400000 366086.000000
145 2.400000 367350.000000
146 2.800000 367034.000000
147 2.500000 362294.000000
148 2.400000 366402.000000
149 2.700000 377620.000000
150 2.500000 387258.000000
151 2.300000 395000.000000
152 2.700000 396896.000000
153 2.900000 411274.000000
154 2.900000 418226.000000
155 3.000000 447140.000000
156 3.200000 470840.000000
157 3.300000 489326.000000
158 3.200000 501334.000000
159 3.300000 509550.000000
160 3.500000 526614.000000
161 3.700000 540676.000000
162 3.900000 551262.000000
163 3.900000 562322.000000
164 4.000000 570538.000000
165 4.000000 573066.000000
166 4.000000 594238.000000
167 4.000000 596134.000000
168 4.000000 588708.000000
169 4.000000 579702.000000
170 4.000000 572118.000000
171 4.000000 570854.000000
172 4.000000 566114.000000
173 4.000000 565166.000000
174 4.000000 560742.000000
175 4.000000 562796.000000
176 4.000000 557424.000000
177 4.000000 550788.000000
178 4.000000 546838.000000
179 3.900000 545258.000000
180 4.000000 548102.000000
181 4.000000 543520.000000
182 4.000000 542098.000000
183 4.000000 538622.000000
184 4.000000 524244.000000
185 3.900000 519346.000000
186 3.600000 514764.000000
187 3.400000 507812.000000
188 3.500000 505600.000000
189 3.400000 502598.000000
190 3.400000 497068.000000
191 3.400000 492170.000000
192 3.200000 489958.000000
193 3.300000 481110.000000
194 3.300000 477634.000000
195 3.200000 470050.000000
196 3.000000 462466.000000
197 3.000000 456462.000000
198 3.100000 449984.000000
199 3.200000 445086.000000
200 2.900000 439714.000000
201 3.000000 433868.000000
202 3.000000 427390.000000
203 3.000000 420596.000000
204 3.000000 415540.000000
205 3.100000 408746.000000
206 2.800000 405586.000000
207 2.900000 400056.000000
208 3.000000 393420.000000
209 2.900000 389470.000000
210 2.900000 383940.000000
211 2.800000 378568.000000
212 2.600000 372090.000000
213 2.400000 364822.000000
214 2.600000 362452.000000
215 2.300000 355658.000000
216 2.300000 347600.000000
217 2.200000 341596.000000
218 2.200000 338120.000000
219 2.400000 334486.000000
220 2.300000 324216.000000
221 2.100000 321056.000000
222 2.200000 317580.000000
223 2.100000 314894.000000
224 2.000000 309364.000000
225 2.100000 305572.000000
226 2.100000 297514.000000
227 2.000000 291984.000000
228 2.100000 290088.000000
229 2.100000 288192.000000
230 2.000000 286138.000000
231 2.000000 281556.000000
232 2.000000 275394.000000
233 2.000000 272234.000000
234 2.000000 267810.000000
235 2.000000 262438.000000
236 1.900000 259594.000000
237 1.900000 255328.000000
238 1.900000 253590.000000
239 1.800000 250746.000000
240 1.800000 246480.000000
241 1.800000 246480.000000
242 1.800000 243794.000000
243 1.800000 241898.000000
244 1.900000 239212.000000
245 1.700000 232576.000000
246 1.700000 228626.000000
247 1.700000 224518.000000
248 1.600000 223570.000000
249 1.500000 221674.000000
250 1.600000 216776.000000
251 1.400000 210140.000000
252 1.300000 205242.000000
253 1.300000 200976.000000
254 1.400000 199870.000000
255 1.200000 194340.000000
256 1.400000 189126.000000
257 1.200000 187704.000000
258 1.300000 185650.000000
259 1.400000 181542.000000
260 1.100000 177750.000000
261 1.200000 174116.000000
262 1.000000 168586.000000
263 1.100000 158000.000000
264 0.900000 155788.000000
265 1.000000 153418.000000
266 1.000000 152312.000000
267 1.100000 150100.000000
268 0.700000 149784.000000
269 0.900000 145992.000000
270 0.600000 139356.000000
271 1.000000 134458.000000
272 0.600000 137776.000000
273 0.800000 144254.000000
274 0.800000 147098.000000
275 0.900000 149468.000000
276 1.100000 155946.000000
277 1.000000 157526.000000
278 1.000000 159896.000000
279 1.000000 163688.000000
280 0.900000 172852.000000
281 1.200000 178540.000000
282 1.200000 183438.000000
283 1.200000 196236.000000
284 1.500000 208086.000000
285 1.300000 226730.000000
286 1.200000 244426.000000
287 1.800000 262754.000000
288 2.400000 279660.000000
289 1.800000 307310.000000
290 2.000000 332274.000000
291 2.100000 358976.000000
292 2.500000 400530.000000
293 3.000000 451722.000000
294 3.100000 506706.000000
295 3.600000 556792.000000
296 3.900000 604666.000000
297 4.100000 655226.000000
298 4.500000 720322.000000
299 5.000000 756188.000000
300 5.000000 796004.000000
301 5.100000 827604.000000
302 5.600000 883694.000000
303 5.800000 931884.000000
304 6.100000 988606.000000
305 6.300000 1033320.000000
306 7.000000 1091780.000000
307 7.000000 1144236.000000
308 7.000000 1180576.000000
309 7.200000 1227344.000000
310 7.900000 1267476.000000
311 8.000000 1319458.000000
312 8.100000 1376970.000000
313 8.900000 1461816.000000
314 9.200000 1546504.000000
315 9.800000 1588848.000000
316 9.900000 1627242.000000
317 10.000000 1676380.000000
318 10.000000 1707190.000000
319 10.100000 1737368.000000
320 10.400000 1753326.000000
321 10.600000 1764070.000000
322 10.700000 1762016.000000
323 10.500000 1760910.000000
324 10.300000 1738632.000000
325 10.200000 1689652.000000
326 9.900000 1665320.000000
327 9.900000 1633088.000000
328 9.800000 1607650.000000
329 9.500000 1574312.000000
330 9.200000 1545398.000000
331 9.200000 1534338.000000
332 9.000000 1508426.000000
333 9.100000 1471612.000000
334 8.800000 1443962.000000
335 8.300000 1404620.000000
336 8.000000 1371282.000000
337 8.000000 1347424.000000
338 8.000000 1314876.000000
339 7.900000 1283750.000000
340 7.900000 1241880.000000
341 7.500000 1192584.000000
342 7.100000 1142340.000000
343 7.000000 1065236.000000
344 6.200000 990818.000000
345 6.000000 908816.000000
346 5.600000 851304.000000
347 5.100000 803430.000000
348 4.900000 747340.000000
349 4.700000 699940.000000
350 4.200000 648432.000000
351 4.000000 592974.000000
352 3.600000 554738.000000
353 3.300000 519504.000000
354 3.000000 488536.000000
355 3.000000 453302.000000
356 2.900000 421544.000000
357 2.800000 400530.000000
358 2.400000 371300.000000
359 2.200000 346336.000000
360 2.000000 317738.000000
361 1.900000 282188.000000
362 1.900000 272866.000000
363 1.900000 262122.000000
364 1.900000 242846.000000
365 1.300000 231786.000000
366 1.300000 229890.000000
367 1.300000 225624.000000
368 1.200000 221042.000000
369 1.300000 208244.000000
370 1.200000 192602.000000
371 1.300000 181700.000000
372 1.000000 175380.000000
373 1.200000 166058.000000
374 0.800000 157052.000000
375 0.800000 140462.000000
376 1.000000 132562.000000
377 0.800000 126716.000000
378 1.000000 122608.000000
379 0.600000 117394.000000
380 0.700000 114234.000000
381 0.400000 106176.000000
382 0.300000 98750.000000
383 0.200000 91166.000000
384 0.000000 85794.000000
385 0.400000 82002.000000
386 0.300000 77894.000000
387 0.200000 77578.000000
388 0.200000 75682.000000
389 0.200000 75682.000000
390 0.300000 71258.000000
391 0.200000 72522.000000
392 0.500000 71258.000000
393 0.200000 72522.000000
394 0.200000 75682.000000
395 0.200000 75998.000000
396 0.200000 78842.000000
397 0.200000 78526.000000
398 0.200000 82792.000000
399 0.200000 87374.000000
400 0.400000 93378.000000
401 0.200000 100804.000000
402 0.600000 108704.000000
403 0.600000 115182.000000
404 0.600000 118026.000000
405 0.600000 125136.000000
406 0.700000 128296.000000
407 0.700000 133510.000000
408 0.900000 146308.000000
409 0.800000 159896.000000
410 1.000000 168902.000000
411 1.100000 177592.000000
412 1.200000 183280.000000
413 1.200000 198132.000000
414 1.200000 212510.000000
415 1.200000 222622.000000
416 1.700000 227204.000000
417 1.400000 230522.000000
418 1.400000 233840.000000
419 1.600000 247270.000000
420 1.900000 267652.000000
421 2.000000 274130.000000
422 1.900000 259436.000000
423 1.400000 229890.000000
424 1.300000 203978.000000
425 1.200000 178382.000000
426 0.800000 141568.000000
427 0.900000 115656.000000
428 0.200000 90218.000000
429 0.200000 70152.000000
430 0.300000 54984.000000
431 0.200000 42976.000000
432 0.200000 35550.000000
433 0.200000 34286.000000
434 0.600000 33812.000000
435 0.400000 28756.000000
436 0.200000 28440.000000
437 0.200000 27966.000000
438 0.200000 24806.000000
439 0.200000 25438.000000
440 0.000000 27650.000000
441 0.200000 27492.000000
442 0.300000 25912.000000
443 0.200000 27176.000000
444 0.200000 30968.000000
445 0.200000 32864.000000
446 0.200000 37446.000000
447 0.200000 42028.000000
448 0.200000 45662.000000
449 0.200000 51192.000000
450 0.300000 55932.000000
451 0.400000 61304.000000
452 0.900000 70626.000000
453 0.800000 77104.000000
454 0.300000 81054.000000
455 0.400000 86426.000000
456 0.200000 87848.000000
457 0.300000 91956.000000
458 0.400000 95906.000000
459 1.000000 101752.000000
460 0.900000 107124.000000
461 1.100000 115182.000000
462 0.400000 118974.000000
463 0.300000 119448.000000
464 0.400000 122608.000000
465 0.600000 127664.000000
466 0.700000 132088.000000
467 0.500000 139830.000000
468 0.700000 150258.000000
469 1.200000 169692.000000
470 1.100000 184386.000000
471 1.300000 210930.000000
472 1.200000 246322.000000
473 1.900000 270496.000000
474 1.900000 315052.000000
475 2.000000 372722.000000
476 2.800000 425494.000000
