frame ft primitives
3 56.799999 4131278.000000
4 48.599998 4130098.500000
5 43.599998 4129064.750000
6 46.099998 4126853.500000
7 41.400002 4126402.000000
8 39.700001 4083238.000000
9 44.299999 4077567.250000
10 44.700001 4077562.500000
11 49.400002 4076816.750000
12 45.500000 4034395.500000
13 43.700001 4029172.750000
14 50.799999 4027700.500000
15 39.400002 4022328.000000
16 45.900002 3981957.500000
17 40.799999 3981956.000000
18 38.200001 3981954.750000
19 37.099998 3981204.000000
20 46.599998 3980018.750000
21 38.700001 3978988.000000
22 45.099998 3974503.250000
23 45.099998 3932816.750000
24 42.099998 3932518.750000
25 48.099998 3893406.500000
26 41.299999 3851569.500000
27 50.500000 3835756.750000
28 50.799999 3835608.000000
29 43.099998 3835606.500000
30 43.500000 3799722.750000
31 42.400002 3790600.000000
32 43.200001 3826918.500000
33 42.900002 3828829.500000
34 47.900002 3750293.250000
35 49.000000 3783218.500000
36 43.200001 4006000.000000
37 46.000000 4129839.500000
38 45.400002 4113077.500000
39 47.299999 4080811.250000
40 45.099998 4049146.750000
41 42.099998 4035188.750000
42 46.099998 4045051.250000
43 43.000000 4123943.250000
44 44.099998 4163954.500000
45 51.700001 4229542.500000
46 53.700001 4369091.000000
47 48.400002 4346818.500000
48 43.799999 4324999.000000
49 53.500000 4267017.000000
50 50.799999 4280043.000000
51 46.000000 4269313.000000
52 44.200001 4292493.000000
53 47.700001 4349330.500000
54 52.700001 4357563.000000
55 46.200001 4394653.000000
56 50.799999 4459387.000000
57 50.500000 4527929.000000
58 49.799999 4601498.000000
59 64.099998 4703154.000000
60 48.799999 4629332.000000
61 54.000000 4628796.000000
62 45.299999 4603001.000000
63 58.000000 4580129.000000
64 52.000000 4580121.500000
65 54.099998 4580107.000000
66 52.700001 4580095.000000
67 50.599998 4580092.000000
68 68.599998 4580084.500000
69 60.200001 4580077.000000
70 62.500000 4579484.000000
71 47.099998 4578598.500000
72 43.700001 4578592.000000
73 54.099998 4578588.000000
74 52.500000 4577557.000000
75 45.700001 4576376.000000
76 50.400002 4574310.500000
77 54.000000 4558638.500000
78 46.700001 4526209.000000
79 53.299999 4524885.000000
80 46.000000 4524871.000000
81 51.799999 4524855.000000
82 42.700001 4471029.000000
83 52.500000 4435140.000000
84 53.400002 4434688.000000
85 51.700001 4432909.500000
86 67.699997 4432162.500000
87 47.299999 4432139.000000
88 53.000000 4400733.000000
89 51.700001 4387261.500000
90 53.099998 4378272.000000
91 44.799999 4341357.000000
92 42.099998 4295749.000000
93 49.500000 4155810.500000
94 46.200001 4073004.750000
95 48.299999 4035328.000000
96 39.299999 3993461.500000
97 53.500000 4016008.000000
98 40.799999 3974309.500000
99 38.500000 3946222.750000
100 35.700001 3860856.750000
101 39.500000 3853345.500000
102 35.599998 3889359.250000
103 34.900002 3906262.500000
104 46.099998 3942290.500000
105 40.900002 3968314.500000
106 48.200001 3998520.000000
107 49.599998 4040056.750000
108 49.799999 3924321.500000
109 40.000000 3883073.250000
110 55.400002 3908140.000000
111 46.099998 3919815.500000
112 43.900002 3906794.500000
113 44.799999 3864147.250000
114 42.900002 3794955.500000
115 34.700001 3771499.250000
116 39.099998 3815680.750000
117 43.400002 3901771.500000
118 41.900002 3982353.500000
119 43.200001 3957140.000000
120 48.799999 3848694.750000
121 39.000000 3813114.750000
122 43.099998 3799658.750000
123 37.200001 3892660.000000
124 44.799999 3966108.750000
125 37.000000 3974266.500000
126 40.400002 3869936.750000
127 42.299999 3796420.000000
128 31.799999 3771647.250000
129 42.400002 3813191.250000
130 43.700001 3877602.500000
131 38.799999 3919807.500000
132 44.000000 3924600.750000
133 37.700001 3892260.500000
134 40.099998 3892191.250000
135 43.599998 3951820.750000
136 47.599998 4052631.250000
137 39.400002 3976099.250000
138 46.900002 3969200.000000
139 39.099998 3928393.500000
140 46.200001 3893251.250000
141 38.000000 3889360.750000
142 36.700001 3839454.000000
143 40.799999 3887769.250000
144 45.000000 3959675.250000
145 37.700001 3983724.750000
146 44.099998 4011968.500000
147 39.599998 4002440.750000
148 44.299999 4049235.250000
149 42.500000 4073748.000000
150 45.799999 4214413.500000
151 33.000000 4318478.000000
152 33.500000 4371910.500000
153 32.500000 4342925.000000
154 32.799999 4322009.000000
155 32.500000 4330922.000000
156 31.400000 4258972.500000
157 31.100000 4295900.500000
158 32.099998 4420409.500000
159 33.500000 4538815.000000
160 34.500000 4664428.000000
161 34.500000 4631002.500000
162 34.400002 4635510.500000
163 34.799999 4690958.500000
164 35.799999 4723489.000000
165 36.900002 4775715.000000
166 37.500000 4924473.000000
167 37.700001 4981462.000000
168 37.299999 4890866.500000
169 36.700001 4889829.500000
170 40.099998 4889817.500000
171 36.500000 4876356.000000
172 35.900002 4844958.500000
173 35.799999 4844942.500000
174 34.799999 4719361.500000
175 34.900002 4664213.000000
176 34.099998 4632659.000000
177 33.000000 4605155.000000
178 33.799999 4559417.000000
179 32.700001 4483169.000000
180 32.299999 4451033.000000
181 31.600000 4414415.000000
182 31.100000 4391094.500000
183 31.200001 4390498.500000
184 31.000000 4389175.000000
185 30.500000 4389022.000000
186 30.600000 4389010.500000
187 30.500000 4360918.500000
188 29.900000 4342672.000000
189 30.100000 4340744.000000
190 29.900000 4312798.500000
191 29.400000 4294848.000000
192 29.500000 4289031.000000
193 29.200001 4227933.500000
194 28.299999 4142424.000000
195 28.200001 4111028.000000
196 27.799999 4070663.250000
197 27.900000 4066160.750000
198 27.700001 4066156.000000
199 27.400000 4066155.250000
200 27.400000 4066152.000000
201 27.400000 4057177.500000
202 27.000000 3998869.250000
203 26.400000 3976435.500000
204 27.000000 3975984.750000
205 25.700001 3974953.500000
206 26.400000 3974945.500000
207 26.500000 3934569.500000
208 26.000000 3930076.000000
209 25.700001 3930070.500000
210 26.299999 3930070.500000
211 25.200001 3894182.500000
212 25.200001 3853075.500000
213 25.000000 3838884.000000
214 25.100000 3838884.000000
215 25.000000 3825426.500000
216 24.900000 3794028.750000
217 24.900000 3776084.000000
218 24.500000 3726746.000000
219 23.600000 3704316.750000
220 23.799999 3703875.250000
221 23.799999 3701522.500000
222 23.799999 3701363.500000
223 23.700001 3701355.500000
224 23.700001 3701346.750000
225 23.500000 3674435.250000
226 23.200001 3656491.250000
227 23.100000 3638545.500000
228 22.600000 3611630.500000
229 22.400000 3611626.500000
230 22.700001 3611618.750000
231 21.600000 3610132.000000
232 22.000000 3601152.000000
233 21.700001 3565257.250000
234 21.700001 3537604.750000
235 23.900000 3518923.500000
236 21.200001 3518917.250000
237 21.299999 3500971.500000
238 20.900000 3474050.000000
239 19.400000 3474048.000000
240 19.799999 3451624.000000
241 20.799999 3429197.250000
242 20.799999 3393317.500000
243 19.500000 3383899.250000
244 20.299999 3382121.500000
245 20.900000 3381380.000000
246 20.299999 3358952.500000
247 20.100000 3305134.000000
248 19.900000 3273735.250000
249 20.000000 3246821.500000
250 19.900000 3242327.500000
251 20.400000 3201947.500000
252 20.100000 3166056.000000
253 19.799999 3157075.250000
254 19.799999 3156918.500000
255 20.100000 3154709.250000
256 19.700001 3154116.000000
257 20.500000 3154110.000000
258 20.500000 3154097.500000
259 19.799999 3154089.500000
260 19.900000 3154088.000000
261 19.500000 3154081.250000
262 20.000000 3086802.750000
263 19.500000 3018787.000000
264 19.799999 3018045.250000
265 19.299999 3013256.000000
266 20.000000 2940316.750000
267 19.700001 2926857.250000
268 19.799999 2926852.000000
269 21.200001 2926840.000000
270 19.700001 2899916.000000
271 20.500000 2878444.000000
272 19.799999 2932415.500000
273 19.400000 2989712.000000
274 19.700001 3084202.500000
275 19.600000 3139204.750000
276 20.000000 3224879.000000
277 20.299999 3236873.750000
278 20.200001 3200562.750000
279 19.900000 3214035.250000
280 19.900000 3258162.500000
281 19.799999 3273981.000000
282 20.000000 3257374.000000
283 19.500000 3360522.000000
284 19.900000 3468161.500000
285 21.000000 3536044.000000
286 20.100000 3644878.500000
287 21.299999 3687613.250000
288 22.700001 3749183.500000
289 24.100000 3885160.750000
290 25.299999 3962916.000000
291 26.400000 4093167.250000
292 28.000000 4289823.000000
293 29.600000 4477576.000000
294 32.000000 4722160.000000
295 34.000000 4881602.500000
296 35.400002 4989653.000000
297 36.500000 5094523.000000
298 38.099998 5226161.000000
299 38.599998 5221532.000000
300 38.900002 5244367.000000
301 39.700001 5318645.500000
302 40.799999 5362605.000000
303 41.400002 5395098.500000
304 41.299999 5398403.000000
305 40.700001 5340611.000000
306 40.299999 5320320.000000
307 39.299999 5243244.000000
308 39.599998 5156780.500000
309 37.299999 5130386.500000
310 38.599998 5133541.000000
311 39.099998 5209845.500000
312 40.099998 5314119.500000
313 41.099998 5412903.000000
314 42.700001 5491888.000000
315 43.700001 5596038.500000
316 44.799999 5677019.000000
317 46.599998 5846965.500000
318 48.799999 5961289.500000
319 48.900002 6046457.000000
320 49.799999 6161295.000000
321 49.900002 6103708.000000
322 50.299999 6066688.500000
323 50.700001 6107739.000000
324 50.400002 6029409.500000
325 48.799999 5857975.000000
326 47.400002 5711179.000000
327 46.200001 5605357.500000
328 45.599998 5569026.500000
329 44.599998 5449319.000000
330 44.099998 5477377.500000
331 44.500000 5567559.000000
332 45.000000 5603955.500000
333 45.099998 5604412.500000
334 45.000000 5586256.000000
335 44.599998 5564117.500000
336 43.799999 5575012.000000
337 44.400002 5641934.500000
338 45.200001 5737019.000000
339 46.299999 5823637.000000
340 46.599998 5839520.500000
341 46.799999 5831217.500000
342 46.599998 5817228.500000
343 46.099998 5756607.000000
344 45.200001 5613356.000000
345 43.000000 5495614.500000
346 41.799999 5387546.500000
347 39.700001 5298309.000000
348 37.900002 5076366.000000
349 34.500000 4702012.000000
350 32.599998 4528235.000000
351 31.600000 4467082.500000
352 29.900000 4328687.500000
353 28.400000 4204943.000000
