frame ft primitives
3 8.600000 2822174.000000
4 9.600000 2821584.000000
5 8.800000 2821286.250000
6 8.100000 2820878.000000
7 8.400000 2818312.500000
8 7.900000 2797482.750000
9 7.800000 2808649.500000
10 9.100000 2815445.500000
11 8.600000 2818285.000000
12 9.200000 2829131.500000
13 7.900000 2830508.500000
14 8.700000 2843668.000000
15 8.300000 2843663.250000
16 9.300000 2841974.250000
17 9.500000 2847054.750000
18 7.800000 2847200.750000
19 9.100000 2862791.500000
20 8.600000 2869234.500000
21 8.000000 2884002.250000
22 8.800000 2881309.500000
23 8.100000 2863611.250000
24 10.000000 2863773.750000
25 9.100000 2839956.000000
26 10.700000 2829697.250000
27 8.900000 2828259.500000
28 8.200000 2828516.000000
29 7.900000 2828514.500000
30 8.400000 2817444.500000
31 8.200000 2824165.500000
32 11.300000 2837581.500000
33 7.600000 2839068.250000
34 9.100000 2812767.500000
35 7.600000 2820431.000000
36 9.800000 2865715.000000
37 10.300000 2890494.750000
38 10.100000 2880404.250000
39 8.600000 2867768.500000
40 7.600000 2845928.250000
41 8.700000 2829761.500000
42 8.600000 2837573.500000
43 8.100000 2867406.750000
44 9.400000 2880358.250000
45 9.500000 2896482.000000
46 9.500000 2921333.750000
47 9.300000 2904593.250000
48 9.400000 2890088.250000
49 7.700000 2862102.500000
50 8.700000 2865480.000000
51 9.100000 2866238.500000
52 8.000000 2860689.500000
53 7.800000 2881750.750000
54 7.800000 2876473.750000
55 8.800000 2882876.750000
56 8.400000 2901088.500000
57 9.400000 2914116.500000
58 9.200000 2932395.500000
59 8.700000 2959581.500000
60 9.100000 2950428.500000
61 11.000000 2950002.750000
62 8.700000 2932940.750000
63 9.900000 2926244.000000
64 10.000000 2926291.500000
65 10.700000 2931956.750000
66 10.900000 2941585.500000
67 12.600000 2944945.750000
68 12.000000 2948862.500000
69 10.100000 2951134.000000
70 10.800000 2954549.000000
71 11.300000 2954749.250000
72 11.500000 2960422.000000
73 9.900000 2966024.000000
74 10.900000 2966207.750000
75 10.000000 2966920.250000
76 10.500000 2971069.250000
77 10.400000 2979992.500000
78 12.200000 2977615.500000
79 10.100000 2993974.750000
80 10.600000 3007488.750000
81 10.700000 3009715.250000
82 10.800000 2978873.000000
83 11.200000 2971190.000000
84 11.100000 2971179.750000
85 12.500000 2983932.750000
86 11.300000 3027216.000000
87 11.600000 3038405.250000
88 11.300000 3028522.000000
89 11.200000 3027678.500000
90 11.300000 3021410.000000
91 10.900000 3007213.500000
92 11.000000 2994396.500000
93 11.500000 2952067.500000
94 10.400000 2926380.000000
95 9.300000 2921587.250000
96 10.100000 2920701.250000
97 10.700000 2916881.000000
98 9.300000 2896486.500000
99 11.100000 2889464.500000
100 11.100000 2862621.500000
101 12.000000 2864502.250000
102 10.400000 2881381.500000
103 9.900000 2885603.000000
104 11.200000 2892893.500000
105 10.800000 2895492.500000
106 11.700000 2902870.500000
107 10.500000 2915401.750000
108 11.500000 2877359.750000
109 9.700000 2852691.250000
110 10.300000 2851709.000000
111 10.800000 2860877.000000
112 10.800000 2857891.500000
113 9.300000 2848474.500000
114 10.700000 2844305.000000
115 10.200000 2845874.500000
116 11.000000 2851380.500000
117 8.700000 2883607.500000
118 10.300000 2899518.500000
119 11.700000 2891317.500000
120 11.700000 2869651.750000
121 9.400000 2867431.500000
122 10.900000 2860776.000000
123 12.100000 2879145.750000
124 9.600000 2893596.000000
125 11.700000 2898727.250000
126 10.200000 2872901.500000
127 10.500000 2844831.000000
128 11.100000 2848136.000000
129 9.500000 2844904.500000
130 10.700000 2850102.000000
131 10.200000 2861034.500000
132 9.800000 2860901.750000
133 10.500000 2846056.500000
134 10.200000 2861606.750000
135 9.000000 2886514.750000
136 11.100000 2919724.500000
137 9.300000 2896706.500000
138 10.100000 2895770.500000
139 10.200000 2891100.500000
140 9.200000 2882351.250000
141 10.500000 2881383.500000
142 8.900000 2857558.500000
143 9.900000 2870979.250000
144 10.300000 2892826.000000
145 9.000000 2901085.500000
146 11.100000 2919742.500000
147 9.500000 2921832.000000
148 10.200000 2920532.250000
149 11.000000 2927637.500000
150 11.100000 2971263.000000
151 9.200000 3002273.500000
152 8.200000 3022456.500000
153 9.400000 3004846.000000
154 9.200000 2986777.250000
155 9.000000 2976948.000000
156 8.700000 2956633.750000
157 8.600000 2963132.250000
158 8.800000 2986427.250000
159 9.000000 3003334.750000
160 9.100000 3026679.000000
161 9.300000 3023894.750000
162 9.700000 3029524.000000
163 8.900000 3035353.750000
164 10.000000 3040279.250000
165 9.000000 3046115.000000
166 10.000000 3081474.500000
167 10.100000 3082136.750000
168 9.500000 3060275.500000
169 9.700000 3060490.000000
170 9.500000 3060753.250000
171 9.700000 3061942.000000
172 9.300000 3050725.500000
173 9.100000 3028285.500000
174 8.900000 2981804.500000
175 9.700000 2976569.250000
176 8.100000 2975618.750000
177 7.900000 2974398.500000
178 8.500000 2968308.000000
179 8.300000 2954167.250000
180 8.300000 2937269.500000
181 8.300000 2923774.750000
182 7.700000 2914276.500000
183 7.800000 2916291.250000
184 8.000000 2924893.500000
185 7.800000 2925035.250000
186 7.900000 2925078.750000
187 9.000000 2913401.500000
188 7.200000 2919068.500000
189 7.500000 2918538.500000
190 8.000000 2910609.500000
191 7.700000 2914633.500000
192 7.700000 2914929.250000
193 7.800000 2892597.500000
194 8.300000 2847672.000000
195 6.600000 2841503.000000
196 6.700000 2838698.500000
197 6.900000 2838680.750000
198 7.200000 2845403.250000
199 7.300000 2861099.250000
200 6.900000 2861096.000000
201 7.000000 2856606.500000
202 7.200000 2836418.750000
203 6.800000 2833340.000000
204 6.800000 2833312.500000
205 6.900000 2833220.000000
206 6.400000 2837696.500000
207 6.300000 2833199.250000
208 6.500000 2833447.500000
209 6.500000 2833625.500000
210 6.400000 2833809.500000
211 6.400000 2813876.500000
212 6.300000 2792345.250000
213 6.200000 2794292.000000
214 6.100000 2794402.500000
215 6.100000 2785760.750000
216 6.000000 2772836.000000
217 6.100000 2775201.500000
218 6.200000 2777025.500000
219 7.300000 2778922.750000
220 5.400000 2778775.250000
221 6.100000 2777600.000000
222 6.000000 2777441.500000
223 6.100000 2785282.000000
224 6.100000 2792561.000000
225 6.100000 2776300.750000
226 6.200000 2774927.000000
227 6.200000 2766750.750000
228 5.900000 2755532.500000
229 6.000000 2755896.500000
230 6.400000 2755852.250000
231 5.900000 2755763.500000
232 5.800000 2746894.000000
233 5.800000 2733423.250000
234 5.800000 2717837.750000
235 6.000000 2715966.000000
236 5.700000 2716217.250000
237 6.000000 2712847.250000
238 5.300000 2713955.500000
239 5.200000 2722059.500000
240 5.600000 2708715.500000
241 5.200000 2699743.250000
242 5.300000 2679560.500000
243 5.800000 2677531.250000
244 5.400000 2677004.750000
245 5.100000 2676558.000000
246 5.100000 2658983.250000
247 5.200000 2644406.750000
248 5.100000 2637674.500000
249 5.100000 2640188.000000
250 5.200000 2640712.500000
251 5.700000 2632957.500000
252 6.400000 2621732.500000
253 6.400000 2621721.250000
254 6.600000 2621822.500000
255 6.400000 2621268.750000
256 6.200000 2620970.000000
257 6.600000 2620964.000000
258 6.300000 2621135.500000
259 6.200000 2621127.500000
260 6.400000 2621273.250000
261 6.200000 2621303.250000
262 6.800000 2589903.250000
263 6.300000 2576146.500000
264 6.300000 2575699.250000
265 6.300000 2573299.500000
266 6.900000 2555943.250000
267 6.400000 2558309.250000
268 6.600000 2558304.000000
269 6.200000 2558292.000000
270 5.900000 2542653.500000
271 6.700000 2534343.750000
272 6.100000 2556848.000000
273 6.200000 2571980.750000
274 6.200000 2606826.750000
275 6.400000 2621704.000000
276 6.000000 2642127.750000
277 6.400000 2645889.000000
278 6.300000 2625495.500000
279 6.000000 2628877.250000
280 6.500000 2638799.500000
281 6.500000 2637228.250000
282 6.300000 2626465.250000
283 6.200000 2645523.250000
284 6.000000 2664588.000000
285 6.500000 2677485.250000
286 6.400000 2708578.750000
287 6.500000 2720101.500000
288 6.900000 2745404.750000
289 7.300000 2767226.250000
290 7.100000 2777018.750000
291 6.700000 2796325.750000
292 7.300000 2840701.250000
293 7.300000 2876785.500000
294 7.500000 2916618.750000
295 7.200000 2940656.000000
296 7.900000 2957563.500000
297 8.200000 2982124.500000
298 9.100000 3009007.500000
299 8.400000 3007881.250000
300 8.700000 3011909.000000
301 9.000000 3031227.500000
302 9.200000 3041010.000000
303 9.400000 3048060.250000
304 9.400000 3047799.000000
305 9.100000 3032680.500000
306 12.400000 3021113.500000
307 8.700000 2995848.500000
308 8.300000 2963346.500000
309 8.200000 2955457.250000
310 8.400000 2963419.500000
311 8.500000 2990342.500000
312 8.800000 3016265.000000
313 9.200000 3050382.250000
314 9.600000 3073860.500000
315 9.700000 3085267.500000
316 10.700000 3114080.500000
317 10.100000 3139765.500000
318 10.700000 3152517.750000
319 11.000000 3166806.500000
320 10.900000 3200993.500000
321 11.000000 3169486.750000
322 11.000000 3169583.250000
323 11.200000 3178744.500000
324 10.900000 3169526.000000
325 10.900000 3148750.750000
326 10.600000 3129526.500000
327 10.500000 3110820.500000
328 10.300000 3104442.000000
329 10.200000 3082889.000000
330 10.400000 3098383.000000
331 10.100000 3123500.750000
332 10.500000 3122451.250000
333 10.200000 3105675.000000
334 10.000000 3096612.750000
335 10.100000 3091108.000000
336 9.900000 3090915.500000
337 10.300000 3102233.500000
338 10.300000 3131626.500000
339 10.500000 3149137.500000
340 10.600000 3151347.500000
341 10.500000 3147441.750000
342 10.700000 3147793.500000
343 10.100000 3129407.000000
344 10.100000 3090647.000000
345 9.800000 3070988.000000
346 9.500000 3057970.000000
347 10.800000 3057007.500000
348 8.000000 3008287.500000
349 8.000000 2929169.500000
350 7.700000 2897571.000000
351 8.500000 2890946.000000
352 7.200000 2868562.500000
353 8.500000 2850884.250000
354 7.800000 2821716.250000
355 7.100000 2766464.750000
356 6.900000 2757830.750000
357 6.600000 2749929.250000
358 7.200000 2729154.500000
359 6.100000 2716733.500000
360 6.700000 2696761.250000
361 6.900000 2682316.000000
362 6.700000 2668562.000000
363 6.700000 2668560.750000
364 6.900000 2668405.500000
365 6.800000 2667665.250000
366 6.800000 2667075.250000
367 7.500000 2666992.250000
368 6.800000 2666318.750000
369 7.200000 2666192.500000
370 6.900000 2664436.000000
371 6.400000 2659561.250000
372 6.700000 2596856.500000
373 6.700000 2539828.750000
374 6.500000 2468072.000000
375 6.400000 2456860.000000
376 6.100000 2423224.000000
377 6.000000 2423224.000000
378 6.500000 2423224.000000
379 6.100000 2423224.000000
380 6.000000 2423224.000000
381 7.100000 2400800.000000
382 6.600000 2400800.000000
383 6.600000 2400800.000000
384 6.600000 2400800.000000
385 6.500000 2400800.000000
386 6.600000 2400800.000000
387 6.500000 2400800.000000
388 6.400000 2400800.000000
389 7.000000 2400800.000000
390 6.300000 2400800.000000
391 6.500000 2400800.000000
392 6.500000 2400800.000000
393 6.400000 2400800.000000
394 5.800000 2400800.000000
395 6.200000 2400800.000000
396 6.200000 2400800.000000
397 5.800000 2400800.000000
398 6.200000 2400800.000000
399 6.100000 2400800.000000
400 6.100000 2400800.000000
401 6.100000 2400800.000000
402 6.000000 2407527.250000
403 6.300000 2423224.000000
404 7.000000 2423224.000000
405 6.400000 2423224.000000
406 6.400000 2423224.000000
407 6.500000 2429951.250000
408 5.900000 2463587.250000
409 6.000000 2488253.500000
410 7.200000 2549956.250000
411 6.300000 2622011.000000
412 6.100000 2662703.500000
413 6.400000 2665241.250000
414 7.200000 2666254.500000
415 7.100000 2666468.000000
416 6.300000 2667070.500000
417 6.400000 2667149.750000
418 7.300000 2667886.250000
419 6.300000 2668555.250000
420 6.300000 2668562.000000
421 6.300000 2668561.500000
422 6.500000 2689146.500000
423 6.400000 2664388.500000
424 6.300000 2628290.750000
425 6.100000 2597814.250000
426 6.000000 2594510.500000
427 6.200000 2593480.000000
428 6.000000 2576663.000000
429 6.100000 2565974.500000
430 6.400000 2544544.250000
431 5.700000 2529951.000000
432 5.900000 2526036.750000
433 6.300000 2506606.750000
434 5.900000 2495383.500000
435 5.800000 2505171.500000
436 5.900000 2506220.000000
437 6.100000 2506221.500000
438 6.000000 2524387.500000
439 6.100000 2529019.000000
440 6.800000 2528649.500000
441 6.200000 2528654.500000
442 6.100000 2528651.500000
443 6.200000 2520800.500000
444 6.300000 2504166.500000
445 6.100000 2505859.500000
446 6.000000 2510359.250000
447 5.400000 2500729.750000
448 6.100000 2500844.750000
449 6.100000 2500487.000000
450 5.900000 2500856.500000
451 5.800000 2509410.250000
452 5.700000 2517862.500000
453 5.300000 2528109.500000
454 5.400000 2530084.500000
455 6.000000 2530683.500000
456 5.800000 2531022.250000
457 5.400000 2530956.000000
458 5.400000 2539034.000000
459 5.600000 2553778.000000
460 5.500000 2564179.250000
461 5.800000 2578849.500000
462 5.700000 2594599.750000
463 6.000000 2604661.750000
464 5.800000 2618130.500000
465 5.500000 2627554.000000
466 5.700000 2662361.250000
467 5.600000 2669345.000000
468 5.900000 2680011.250000
