frame ft primitives
3 41.500000 3845737.500000
4 49.900002 3808019.250000
5 50.400002 3778274.500000
6 41.400002 3777388.000000
7 43.700001 3774771.250000
8 44.599998 3752747.250000
9 44.000000 3751781.500000
10 47.000000 3751184.500000
11 54.900002 3732058.500000
12 42.400002 3704190.500000
13 39.599998 3703744.000000
14 42.599998 3694034.500000
15 39.700001 3680130.750000
16 41.900002 3679539.500000
17 45.099998 3679538.000000
18 45.099998 3679535.500000
19 41.500000 3678860.000000
20 45.900002 3677673.500000
21 39.299999 3677304.000000
22 42.900002 3672816.750000
23 43.099998 3654135.500000
24 42.000000 3653903.250000
25 49.799999 3629268.000000
26 41.000000 3610444.000000
27 42.099998 3595880.500000
28 40.900002 3582420.000000
29 45.700001 3582418.000000
30 36.000000 3582418.000000
31 35.500000 3582343.250000
32 35.200001 3582484.750000
33 58.900002 3579831.500000
34 39.400002 3553792.750000
35 44.500000 3563677.250000
36 37.400002 3671413.500000
37 41.599998 3765488.000000
38 38.500000 3690619.250000
39 41.400002 3674338.500000
40 39.200001 3687209.500000
41 35.400002 3695285.500000
42 41.099998 3733212.750000
43 40.000000 3799574.500000
44 47.299999 3790445.500000
45 41.700001 3887919.250000
46 49.200001 3955599.500000
47 48.500000 3971226.750000
48 42.799999 4024839.250000
49 44.799999 4065824.750000
50 47.500000 4093825.500000
51 55.900002 4141252.750000
52 52.400002 4242607.000000
53 51.700001 4293976.500000
54 49.500000 4342740.000000
55 58.099998 4398283.000000
56 51.000000 4462065.500000
57 61.599998 4540270.500000
58 57.400002 4620701.000000
59 42.599998 4773334.500000
60 58.000000 4819721.500000
61 55.599998 4888356.000000
62 66.400002 4903743.000000
63 54.900002 4896857.000000
64 71.099998 4896624.500000
65 66.699997 4851254.500000
66 52.599998 4828815.000000
67 63.400002 4828808.000000
68 56.200001 4828803.500000
69 56.000000 4817575.500000
70 66.300003 4805986.500000
71 35.700001 4805609.000000
72 60.299999 4798869.500000
73 70.000000 4780920.000000
74 59.599998 4760213.500000
75 57.299999 4743184.000000
76 53.200001 4717261.000000
77 52.000000 4702475.000000
78 64.900002 4688282.500000
79 52.799999 4642688.000000
80 54.200001 4620249.000000
81 51.700001 4620238.500000
82 68.900002 4620233.500000
83 52.299999 4615001.500000
84 62.299999 4596912.000000
85 64.800003 4573371.000000
86 49.599998 4573128.500000
87 53.000000 4547849.000000
88 55.799999 4524824.000000
89 51.200001 4481548.000000
90 60.400002 4474438.500000
91 51.400002 4422268.500000
92 46.500000 4309465.500000
93 43.000000 4180958.500000
94 48.599998 4073563.250000
95 47.799999 4043780.750000
96 50.099998 3978708.000000
97 44.900002 3943761.250000
98 51.599998 3903084.750000
99 38.200001 3841726.750000
100 45.799999 3746953.250000
101 44.599998 3727489.500000
102 36.500000 3765673.500000
103 36.900002 3785326.750000
104 44.599998 3782852.000000
105 48.500000 3760198.500000
106 38.700001 3750700.750000
107 40.200001 3726398.500000
108 44.599998 3689659.250000
109 41.400002 3615932.500000
110 37.000000 3609793.500000
111 43.000000 3614202.000000
112 38.099998 3565007.250000
113 32.000000 3574922.500000
114 34.299999 3556899.250000
115 41.599998 3469730.000000
116 28.200001 3424202.500000
117 27.100000 3443453.500000
118 35.700001 3488313.500000
