frame ft primitives
3 6.500000 1258317.750000
4 6.900000 1247444.625000
5 6.300000 1237439.000000
6 6.500000 1234391.000000
7 5.700000 1239399.250000
8 3.400000 1231030.375000
9 3.700000 1218083.250000
10 3.900000 1221779.750000
11 3.800000 1227005.250000
12 3.800000 1222655.750000
13 3.600000 1215032.250000
14 3.600000 1216876.000000
15 3.400000 1211542.000000
16 3.300000 1222418.000000
17 3.400000 1224046.375000
18 3.800000 1217739.750000
19 3.800000 1213166.625000
20 3.400000 1213601.000000
21 3.500000 1229048.625000
22 4.300000 1228824.000000
23 3.400000 1232080.250000
24 4.100000 1230451.750000
25 3.500000 1227949.750000
26 3.400000 1229684.375000
27 4.000000 1228599.250000
28 3.900000 1238709.750000
29 3.600000 1245668.625000
30 3.300000 1250343.250000
31 4.600000 1251867.250000
32 4.300000 1249694.000000
33 3.600000 1249694.000000
34 3.400000 1249694.000000
35 3.800000 1249694.000000
36 3.400000 1249694.000000
37 3.400000 1249694.000000
38 3.800000 1249694.000000
39 3.800000 1249694.000000
40 3.900000 1249694.000000
41 3.900000 1249694.000000
42 3.400000 1249694.000000
43 3.400000 1249694.000000
44 4.300000 1249694.000000
45 3.400000 1249694.000000
46 3.400000 1249694.000000
47 3.600000 1249694.000000
48 3.400000 1249694.000000
49 3.300000 1249694.000000
50 3.600000 1249694.000000
51 4.000000 1249694.000000
52 3.600000 1249694.000000
53 3.500000 1249694.000000
54 3.400000 1249694.000000
55 3.500000 1249694.000000
56 3.400000 1249694.000000
57 3.600000 1249694.000000
58 3.300000 1249694.000000
59 3.400000 1249694.000000
60 3.500000 1249694.000000
61 3.400000 1249802.625000
62 3.300000 1252624.375000
63 3.700000 1250235.750000
64 3.500000 1250128.375000
65 3.500000 1245887.625000
66 3.700000 1251876.750000
67 3.400000 1251662.000000
68 3.500000 1251446.625000
69 4.000000 1258846.375000
70 3.500000 1256246.000000
71 3.300000 1254078.750000
72 3.600000 1257777.625000
73 3.800000 1251679.250000
74 3.300000 1245480.625000
75 3.400000 1244395.250000
76 4.000000 1242660.000000
77 3.700000 1234066.250000
78 3.400000 1232436.000000
79 3.800000 1229286.000000
80 3.600000 1222105.750000
81 3.500000 1218630.625000
82 3.800000 1212324.625000
83 4.000000 1199810.375000
84 3.300000 1195458.625000
85 3.400000 1193386.250000
86 3.300000 1187732.375000
87 3.700000 1180009.250000
88 3.900000 1181426.375000
89 4.000000 1186207.750000
90 3.400000 1181096.375000
91 3.900000 1170550.250000
92 3.400000 1169244.000000
93 3.300000 1169244.000000
94 3.800000 1169244.000000
95 3.400000 1169244.000000
96 3.400000 1169244.000000
97 3.500000 1169244.000000
98 3.300000 1169244.000000
99 3.400000 1169244.000000
100 3.600000 1169244.000000
101 3.300000 1169244.000000
102 3.300000 1169244.000000
103 3.600000 1169244.000000
104 3.800000 1169244.000000
105 3.400000 1169244.000000
106 4.200000 1169244.000000
107 3.600000 1169244.000000
108 3.800000 1169244.000000
109 3.600000 1169244.000000
110 3.600000 1169244.000000
111 3.300000 1169244.000000
112 3.600000 1169244.000000
113 3.400000 1169244.000000
114 3.300000 1169244.000000
115 3.800000 1169244.000000
116 3.700000 1169244.000000
117 3.300000 1169244.000000
118 3.400000 1169244.000000
119 4.000000 1169244.000000
120 3.300000 1169244.000000
121 3.500000 1169244.000000
122 3.400000 1169244.000000
123 3.300000 1169244.000000
124 3.400000 1169244.000000
125 4.000000 1169244.000000
