frame ft primitives
3 10.100000 2383731.500000
4 7.900000 2377572.500000
5 8.500000 2372206.000000
6 7.600000 2370946.500000
7 7.200000 2372913.500000
8 7.900000 2368334.500000
9 7.800000 2362503.250000
10 8.000000 2364635.250000
11 6.600000 2366760.500000
12 7.600000 2364312.750000
13 7.000000 2361641.500000
14 7.500000 2363304.750000
15 7.600000 2360146.000000
16 7.200000 2365827.250000
17 7.200000 2367093.500000
18 7.800000 2363540.500000
19 9.000000 2361810.000000
20 7.900000 2362126.500000
21 6.200000 2369856.500000
22 8.100000 2369619.500000
23 7.600000 2372231.250000
24 6.500000 2370965.250000
25 7.700000 2369703.000000
26 7.000000 2371366.750000
27 7.500000 2370575.750000
28 7.200000 2377453.500000
29 7.200000 2381401.500000
30 7.600000 2384166.000000
31 7.500000 2384795.500000
32 7.600000 2383372.750000
33 7.200000 2383372.750000
34 7.000000 2383372.750000
35 7.600000 2383372.750000
36 7.200000 2383372.750000
37 7.200000 2383372.750000
38 7.400000 2383372.750000
39 7.700000 2383372.750000
40 6.800000 2383372.750000
41 7.100000 2383372.750000
42 7.500000 2383372.750000
43 7.600000 2383372.750000
44 7.700000 2383372.750000
45 7.900000 2383372.750000
46 8.400000 2383372.750000
47 6.100000 2383372.750000
48 7.300000 2383372.750000
49 7.300000 2383372.750000
50 7.700000 2383372.750000
51 7.300000 2383372.750000
52 6.900000 2383372.750000
53 7.800000 2383372.750000
54 7.800000 2383372.750000
55 7.700000 2383372.750000
56 7.900000 2383372.750000
57 7.900000 2383372.750000
58 7.900000 2383372.750000
59 7.900000 2383372.750000
60 8.000000 2383372.750000
61 7.500000 2383452.000000
62 7.600000 2385747.500000
63 7.400000 2383927.500000
64 8.300000 2383689.500000
65 6.600000 2381320.750000
66 7.300000 2383522.000000
67 8.400000 2383045.500000
68 7.900000 2382648.500000
69 8.100000 2386037.250000
70 8.600000 2383342.750000
71 7.000000 2381124.250000
72 7.100000 2381904.500000
73 7.800000 2379703.500000
74 7.900000 2376309.250000
75 9.400000 2375438.500000
76 6.000000 2373854.500000
77 7.200000 2369516.000000
78 7.200000 2368488.500000
79 7.600000 2366274.500000
80 8.000000 2362725.250000
81 6.500000 2360194.250000
82 7.500000 2356561.500000
83 6.500000 2350808.500000
84 7.600000 2348679.250000
85 7.700000 2348370.500000
86 6.400000 2345132.750000
87 7.100000 2341188.250000
88 7.600000 2341500.000000
89 6.300000 2344582.500000
90 7.600000 2341820.000000
91 6.200000 2335739.250000
92 7.000000 2335188.000000
93 6.800000 2335188.000000
94 7.300000 2335188.000000
95 6.900000 2335188.000000
96 7.200000 2335188.000000
