frame ft primitives
3 79.699997 9424800.000000
4 60.099998 9424800.000000
5 71.300003 9424800.000000
6 71.199997 9424800.000000
7 71.300003 9424800.000000
8 70.699997 9424800.000000
9 89.400002 9424800.000000
10 73.599998 9424800.000000
11 81.900002 9424800.000000
12 73.699997 9424800.000000
13 70.699997 9424800.000000
14 84.800003 9424800.000000
15 71.900002 9424800.000000
16 69.599998 9424800.000000
17 70.400002 9424800.000000
18 70.300003 9424800.000000
19 70.199997 9424800.000000
20 73.699997 9424800.000000
21 67.199997 9424800.000000
22 70.500000 9424800.000000
23 82.400002 9424800.000000
24 73.000000 9424800.000000
25 68.599998 9424800.000000
26 69.800003 9424800.000000
27 78.000000 9424800.000000
28 75.699997 9424800.000000
29 72.699997 9424800.000000
30 71.199997 9424800.000000
31 75.599998 9424800.000000
32 71.099998 9424800.000000
33 72.099998 9424800.000000
34 75.400002 9424800.000000
35 71.099998 9424800.000000
36 71.000000 9424800.000000
37 69.900002 9424800.000000
38 74.699997 9424800.000000
39 82.599998 9424800.000000
40 71.500000 9424800.000000
41 70.000000 9424800.000000
42 71.599998 9424800.000000
43 70.900002 9424800.000000
44 70.099998 9424800.000000
45 72.099998 9424800.000000
46 79.400002 9424800.000000
47 70.599998 9424800.000000
48 89.099998 9424800.000000
49 72.599998 9424800.000000
50 73.900002 9424800.000000
51 70.500000 9424800.000000
52 68.599998 9424800.000000
53 83.500000 9424800.000000
54 73.000000 9424800.000000
55 68.599998 9424800.000000
56 75.099998 9424800.000000
57 60.599998 9424800.000000
58 79.900002 9424800.000000
59 78.699997 9424800.000000
60 72.400002 9424800.000000
61 72.699997 9424800.000000
62 76.000000 9424800.000000
63 69.400002 9424800.000000
64 77.400002 9424800.000000
65 70.500000 9424800.000000
66 71.699997 9424800.000000
67 74.900002 9424800.000000
68 71.699997 9424800.000000
69 75.099998 9424800.000000
70 72.500000 9424800.000000
71 83.099998 9424800.000000
72 64.800003 9424800.000000
73 77.199997 9424800.000000
74 79.900002 9424800.000000
75 74.199997 9424800.000000
76 72.000000 9424800.000000
77 70.900002 9424800.000000
78 72.500000 9424800.000000
79 73.300003 9424800.000000
80 71.800003 9424800.000000
81 74.900002 9424800.000000
82 67.900002 9424800.000000
83 86.000000 9424800.000000
84 75.099998 9424800.000000
85 71.099998 9424800.000000
86 72.599998 9424800.000000
87 73.000000 9424800.000000
88 71.599998 9424800.000000
89 72.900002 9424800.000000
90 69.900002 9424800.000000
91 72.699997 9424800.000000
92 69.300003 9424800.000000
93 69.800003 9424800.000000
94 73.900002 9424800.000000
95 66.800003 9424800.000000
96 70.900002 9424800.000000
97 79.199997 9424800.000000
98 70.300003 9424800.000000
99 62.700001 9424800.000000
100 69.900002 9424800.000000
101 76.900002 9424800.000000
102 71.000000 9424800.000000
103 68.199997 9424800.000000
104 79.800003 9424800.000000
105 69.400002 9424800.000000
106 61.799999 9424800.000000
107 76.800003 9424800.000000
108 69.699997 9424800.000000
109 70.000000 9424800.000000
110 70.900002 9424800.000000
111 70.500000 9424800.000000
112 72.500000 9424800.000000
113 67.199997 9424800.000000
114 73.500000 9424800.000000
115 66.300003 9424800.000000
116 68.599998 9424800.000000
117 70.199997 9424800.000000
118 74.599998 9424800.000000
119 77.800003 9424800.000000
120 69.900002 9424800.000000
121 79.199997 9424800.000000
122 71.099998 9424800.000000
123 70.800003 9424800.000000
124 72.900002 9424800.000000
125 90.300003 9424800.000000
126 72.000000 9424800.000000
127 68.900002 9424800.000000
128 67.900002 9424800.000000
129 70.599998 9424800.000000
130 70.500000 9424800.000000
131 72.199997 9424800.000000
132 66.900002 9424800.000000
133 70.400002 9424800.000000
134 70.000000 9424800.000000
135 80.800003 9424800.000000
136 65.500000 9424800.000000
137 71.500000 9424800.000000
138 69.400002 9424800.000000
139 73.199997 9424800.000000
140 66.099998 9424800.000000
141 80.000000 9424800.000000
142 64.900002 9424800.000000
143 71.900002 9424800.000000
144 60.900002 9424800.000000
145 79.400002 9424800.000000
146 70.599998 9424800.000000
147 68.599998 9424800.000000
148 72.400002 9424800.000000
149 67.400002 9424800.000000
150 72.400002 9424800.000000
151 60.900002 9424800.000000
152 70.900002 9424800.000000
153 71.500000 9424800.000000
154 71.800003 9424800.000000
155 71.099998 9424800.000000
156 70.800003 9424800.000000
157 70.599998 9424800.000000
158 70.400002 9424800.000000
159 71.300003 9424800.000000
160 71.300003 9424800.000000
161 71.000000 9424800.000000
162 70.699997 9424800.000000
163 71.199997 9424800.000000
164 71.900002 9424800.000000
165 72.400002 9424800.000000
166 72.599998 9424800.000000
167 71.800003 9424800.000000
168 71.800003 9424800.000000
169 71.400002 9424800.000000
170 74.000000 9424800.000000
171 67.900002 9424800.000000
172 70.800003 9424800.000000
173 70.300003 9424800.000000
174 70.699997 9424800.000000
175 73.099998 9424800.000000
176 67.000000 9424800.000000
177 70.099998 9424800.000000
178 70.000000 9424800.000000
179 70.599998 9424800.000000
180 69.800003 9424800.000000
181 69.699997 9424800.000000
182 69.199997 9424800.000000
183 69.300003 9424800.000000
184 69.300003 9424800.000000
185 69.000000 9424800.000000
186 68.800003 9424800.000000
187 68.699997 9424800.000000
188 68.500000 9424800.000000
189 68.900002 9424800.000000
190 68.300003 9424800.000000
191 69.199997 9424800.000000
192 68.300003 9424800.000000
193 68.900002 9424800.000000
194 68.400002 9424800.000000
195 68.099998 9424800.000000
196 68.599998 9424800.000000
197 68.199997 9424800.000000
198 68.500000 9424800.000000
199 68.400002 9424800.000000
200 68.300003 9424800.000000
201 68.000000 9424800.000000
202 68.099998 9424800.000000
